row,date,attributes,values,brand
594,2021-02-23,bw_volume,6088,Nike
595,2021-02-22,bw_volume,5393,Nike
596,2021-02-21,bw_volume,7069,Nike
597,2021-02-20,bw_volume,15936,Nike
598,2021-02-19,bw_volume,5311,Nike
599,2021-02-18,bw_volume,5270,Nike
600,2021-02-17,bw_volume,4800,Nike
601,2021-02-16,bw_volume,5291,Nike
602,2021-02-15,bw_volume,5046,Nike
603,2021-02-14,bw_volume,6476,Nike
604,2021-02-13,bw_volume,4740,Nike
605,2021-02-12,bw_volume,5679,Nike
606,2021-02-11,bw_volume,6230,Nike
607,2021-02-10,bw_volume,5801,Nike
608,2021-02-09,bw_volume,6190,Nike
609,2021-02-08,bw_volume,7415,Nike
610,2021-02-07,bw_volume,5414,Nike
611,2021-02-06,bw_volume,6496,Nike
612,2021-02-05,bw_volume,6006,Nike
613,2021-02-04,bw_volume,8764,Nike
614,2021-02-03,bw_volume,9663,Nike
615,2021-02-02,bw_volume,34386,Nike
616,2021-02-01,bw_volume,46216,Nike
617,2021-01-31,bw_volume,5618,Nike
618,2021-01-30,bw_volume,7763,Nike
619,2021-01-29,bw_volume,8703,Nike
620,2021-01-28,bw_volume,6967,Nike
621,2021-01-27,bw_volume,6925,Nike
622,2021-01-26,bw_volume,4515,Nike
623,2021-01-25,bw_volume,5229,Nike
624,2021-01-24,bw_volume,4106,Nike
